,FBFM,ROS,FL,ROS_score,FL_score,GTR_ROS,GTR_FL
0,101,M,L,0.25,0.166666666666667,14.1,1.8
1,102,H,M,0.333333333333333,0.25,34.8,4.6
2,103,H,M,0.333333333333333,0.25,47.6,6.9
3,104,VH,H,0.416666666666667,0.333333333333333,70.7,8.6
4,105,VH,H,0.416666666666667,0.333333333333333,57.7,10.8
5,106,VH,VH,0.416666666666667,0.416666666666667,72,13.2
6,107,VH,VH,0.416666666666667,0.416666666666667,105,18.4
7,108,VH,VH,0.416666666666667,0.416666666666667,103.8,23.1
8,109,X,X,0.5,0.5,169.1,31.8
9,121,M,L,0.25,0.166666666666667,15.3,3.3
10,122,H,M,0.333333333333333,0.25,22.9,5.1
11,123,H,M,0.333333333333333,0.25,32.6,7.7
12,124,H,VH,0.333333333333333,0.416666666666667,29.7,14.9
13,141,VL,VL,0.0833333333333333,0.0833333333333333,1.7,0.7
14,142,L,L,0.166666666666667,0.166666666666667,3.1,2.1
15,143,L,L,0.166666666666667,0.166666666666667,4,2.3
16,144,H,M,0.333333333333333,0.25,28,6.6
17,145,VH,VH,0.416666666666667,0.416666666666667,57.3,13.6
18,146,H,H,0.333333333333333,0.333333333333333,23.6,9.2
19,147,H,VH,0.333333333333333,0.416666666666667,37.5,12.9
20,148,H,H,0.333333333333333,0.333333333333333,22.7,10.3
21,149,H,VH,0.333333333333333,0.416666666666667,41.8,17.2
22,161,L,L,0.166666666666667,0.166666666666667,3,1.9
23,162,M,L,0.25,0.166666666666667,12.3,3.6
24,163,H,M,0.333333333333333,0.25,26.5,7.2
25,164,M,M,0.25,0.25,12.4,5.7
26,165,M,M,0.25,0.25,9.3,7.4
27,181,VL,VL,0.0833333333333333,0.0833333333333333,0.9,0.6
28,182,VL,VL,0.0833333333333333,0.0833333333333333,1.4,0.8
29,183,VL,L,0.0833333333333333,0.166666666666667,1.7,1
30,184,L,L,0.166666666666667,0.166666666666667,2.5,1.4
31,185,L,L,0.166666666666667,0.166666666666667,4.5,2.1
32,186,M,L,0.25,0.166666666666667,6,2.7
33,187,L,L,0.166666666666667,0.166666666666667,2.9,2
34,188,M,L,0.25,0.166666666666667,6.1,3.4
35,189,M,M,0.25,0.25,9.1,4.8
36,201,M,L,0.25,0.166666666666667,6.4,3.1
37,202,M,M,0.25,0.25,15.3,6
38,203,H,H,0.333333333333333,0.333333333333333,27.7,9.1
39,204,VH,VH,0.416666666666667,0.416666666666667,53.3,12.6
40,0,N,N,0,0,0,0
41,91,N,N,0,0,0,0
42,92,N,N,0,0,0,0
43,93,N,N,0,0,0,0
44,98,N,N,0,0,0,0
45,99,N,N,0,0,0,0
