varloc,low_dir,high_dir
WS_501,180,225
CR_301,225,270
CR_201,225,270
UT_401,135,180
CR_202,315,360
IE_103,270,315
CR_203,135,180
PN_712,0,45
PN_709,0,45
WC_709,180,225
SO_702,270,315
WC_711,225,270
WC_710,90,135
PN_708,90,135
WC_708,135,180
CI_402,315,360
TT_403,225,270
TT_404,270,315
UT_404,225,270
TT_405,270,315
CR_302,270,315
CI_406,225,270
CR_303,180,225
IE_105,270,315
WS_502,225,270
CR_304,135,180
IE_106,135,180
EC_621,135,180
IE_621,90,135
EM_108,135,180
EM_109,270,315
SO_601,225,270
UT_407,315,360
WS_503,315,360
UT_408,225,270
IE_110,270,315
SO_602,180,225
EM_111,180,225
EC_603,270,315
WC_603,270,315
CR_306,225,270
CR_224,225,270
CR_205,180,225
EM_112,0,45
UT_409,180,225
WS_504,0,45
CR_307,180,225
IE_113,180,225
CA_505,270,315
NC_505,0,45
SO_505,180,225
IE_114,225,270
CA_506,180,225
SO_506,180,225
EM_115,270,315
CR_308,135,180
IE_116,180,225
NC_507,270,315
WS_507,90,135
BM_604,315,360
UT_410,180,225
CA_508,0,45
NC_508,225,270
SO_509,225,270
EC_605,225,270
WC_605,180,225
WC_606,135,180
EC_606,270,315
CR_207,180,225
IE_117,315,360
BM_607,225,270
EC_608,315,360
EC_699,135,180
PN_609,45,90
CI_412,270,315
CR_208,180,225
CA_511,315,360
SO_511,225,270
WS_511,180,225
CR_309,180,225
PN_800,270,315
CR_209,180,225
CA_610,180,225
CR_210,225,270
CR_211,180,225
CI_413,0,45
WS_512,90,135
CR_212,225,270
CR_213,225,270
CR_310,180,225
CI_414,225,270
TT_414,135,180
WS_513,225,270
CA_514,0,45
SO_514,225,270
CR_214,180,225
WS_515,225,270
CA_611,270,315
NC_611,0,45
CR_311,180,225
NC_510,180,225
EC_613,270,315
WC_613,270,315
IE_118,270,315
WS_516,180,225
WS_517,135,180
CI_415,135,180
TT_415,180,225
TT_416,180,225
UT_417,180,225
WS_417,180,225
CR_312,180,225
CA_518,270,315
UT_418,270,315
BM_614,270,315
WC_615,270,315
CR_204,225,270
BM_616,225,270
UT_419,180,225
CR_215,180,225
BM_619,315,360
WC_618,180,225
SO_620,225,270
WC_610,225,270
PN_612,180,225
EC_617,225,270
EM_102,180,225
SO_702,180,225
SO_602,225,270
TT_403,270,315
